name,hazType,subjSpeed1,subjSpeed2,subjSpeed3, xdist1, xdist2, xdist3, ydist1, ydist2, ydist3, slDist1, slDist2, slDist3, angle1, angle2, angle3,turn,signal,stopped,action,RT
S1,0,-0.0014,-0.0014,-0.0175,-0.1948,-0.2032,-0.2086,0.004,0.004,0.0047,-0.1944,-0.2026,-0.2078,0.0052,0.0067,0.0095,1,1,1,1,2.36
S1,2,-0.0004,-0.001,-0.0014,-0.1761,-0.1881,-0.1867,-0.0738,-0.0834,-0.0844,-0.1848,-0.1979,-0.1957,-0.0271,-0.04,-0.0577,0,0,1,1,3.73
S1,3,0.0002,-0.001,-0.0459,-0.1851,-0.1958,-0.1836,0.0504,0.0523,0.0522,-0.1606,-0.1692,-0.1562,0.0739,0.0981,0.1281,0,0,0,1,1.71
S10,3,-0.0002,-0.0001,-0.0215,-0.1525,-0.1626,-0.1609,-0.0112,-0.0111,-0.0118,-0.1472,-0.1565,-0.1548,0.0344,0.0471,0.063,0,0,0,1,2.15
S10,1,-0.001,-0.0013,-0.0013,-0.2425,-0.2414,-0.2404,-0.0754,-0.0758,-0.0766,-0.244,-0.2431,-0.2423,-0.021,-0.0234,-0.0265,1,1,0,3,4.15
S10,0,-0.0011,-0.0011,-0.0011,-0.1541,-0.1628,-0.1715,-0.0003,0.0012,0.0018,-0.1538,-0.1624,-0.1709,0.0038,0.006,0.009,1,1,1,4, NaN
S100,0,-0.0013,-0.0013,-0.0013,-0.1883,-0.1968,-0.2053,-0.0007,-0.0004,0.0002,-0.1881,-0.1965,-0.2048,0.0032,0.0046,0.007,1,1,1,1,4.19
S100,3,0,-0.0001,-0.0013,-0.1692,-0.1791,-0.1796,-0.0141,-0.015,-0.0151,-0.1651,-0.1746,-0.1748,0.0302,0.0405,0.0565,0,0,0,1,2.53
S100,1,-0.0003,0,0,-0.2243,-0.2243,-0.2243,-0.0752,-0.075,-0.0752,-0.2261,-0.2262,-0.2265,-0.0226,-0.0249,-0.028,1,1,0,3,6.74
S101,1,-0.0008,-0.0008,-0.0008,-0.2537,-0.253,-0.2523,0.048,0.0487,0.0499,-0.2514,-0.2503,-0.2492,0.0166,0.0191,0.0225,1,1,0,1,5.6
S101,2,0.0003,-0.0001,-0.0159,-0.1884,-0.2005,-0.1976,-0.0731,-0.0802,-0.0784,-0.1967,-0.2096,-0.2059,-0.0247,-0.0348,-0.0477,0,0,1,1,2.91
S101,0,-0.0001,-0.0006,-0.0007,-0.1996,-0.209,-0.2181,-0.0114,-0.0109,-0.0101,-0.1999,-0.2093,-0.2184,-0.0011,-0.0005,0.0008,1,1,1,3,6.4
S102,2,0.0006,0.0003,0.0002,-0.1975,-0.2102,-0.2103,-0.0816,-0.0923,-0.0954,-0.2064,-0.2201,-0.2197,-0.0285,-0.0422,-0.0624,0,0,1,1,5.05
S102,3,0.0001,0.0001,-0.0155,-0.1893,-0.1998,-0.1997,0.0586,0.0585,0.056,-0.1624,-0.1713,-0.17,0.0792,0.1033,0.1402,0,0,0,1,2.24
S102,0,-0.0001,-0.0001,-0.0001,-0.1982,-0.208,-0.2177,0.0056,0.006,0.0066,-0.1977,-0.2073,-0.2168,0.0054,0.0073,0.0104,1,1,1,2,6.04
S103,1,-0.0013,-0.001,-0.0005,-0.2432,-0.2422,-0.2416,0.048,0.0481,0.049,-0.2408,-0.2395,-0.2384,0.0172,0.0195,0.0229,1,1,0,1,6.68
S103,2,0,-0.0005,-0.0219,-0.1706,-0.1824,-0.1775,-0.0727,-0.0796,-0.0787,-0.1796,-0.1921,-0.1865,-0.0268,-0.0376,-0.0525,0,0,1,1,2.81
S103,0,-0.0011,-0.0002,0.0031,-0.1837,-0.1931,-0.2039,-0.0106,-0.0106,-0.0103,-0.184,-0.1934,-0.2042,-0.0008,-0.0002,0.0011,1,1,1,2,6.85
S104,1,-0.0012,-0.0011,-0.0009,-0.2151,-0.2141,-0.2133,0.0047,0.0039,0.0032,-0.2147,-0.2137,-0.2128,0.0047,0.0053,0.0062,1,1,0,1,6.95
S104,3,-0.0003,-0.0003,-0.0009,-0.1505,-0.1608,-0.162,0.0414,0.0407,0.0389,-0.1251,-0.134,-0.1341,0.0768,0.0995,0.1342,0,0,0,1,2.97
