name, hazType, meanXdist, meanYdist, meanAngle, meanSLdist, meanXspeed, meanYspeed, medianXdist, medianYdist, medianAngle, medianSLdist, medianXspeed, medianYspeed, stdXdist, stdYdist, stdAngle, stdSLdist, stdXspeed, stdYspeed, minXdist, minYdist, minAngle, minSLdist, minXspeed, minYspeed, maxXdist, maxYdist, maxAngle, maxSLdist, maxXspeed, maxYspeed, rangeXdist, rangeYdist, rangeAngle, rangeSLdist, rangeXspeed, rangeYspeed, skewXdist, skewYdist, skewAngle, skewSLdist, skewXspeed, skewYspeed, kurtXdist, kurtYdist, kurtAngle, kurtSLdist, kurtXspeed, kurtYspeed, cvXdist, cvYdist, cvAngle, cvSLdist, cvXspeed, cvYspeed, madXdist, madYdist, madAngle, madSLdist, madXspeed, madYspeed, action, RT
S1,3,-69.2109,18.1533,2.8856,71.5525,19.6528,-0.0008,-69.3955,18.1722,2.8855,71.7354,19.6634,-0.0006,9.4839,2.7722,0.004,9.8769,0.0257,0.0013,-85.248,13.3567,2.8792,54.298,19.5819,-0.0029,-52.6295,22.8957,2.8931,88.2691,19.6807,0.0013,32.6185,9.5391,0.0138,33.9712,0.0988,0.0042,0.0422,-0.0158,0.1276,-0.0402,-1.3606,-0.0247,-1.2054,-1.2052,-1.1498,-1.2055,0.5884,-1.5498,-0.137,0.1527,0.0014,0.138,0.0013,-1.6304,12.2107,3.5685,0.005,12.7165,0.0119,0.002,3,1.71
S1,0,-142.7672,-7.7916,-3.0866,142.9814,18.805,0.0008,-142.9642,-7.7962,-3.0871,143.1766,18.8048,-0.0003,13.722,0.0479,0.005,13.7039,0.0949,0.0025,-166.0433,-7.8807,-3.0942,118.9636,18.6418,-0.0016,-118.7138,-7.7046,-3.0768,166.2302,18.9693,0.0068,47.3295,0.1761,0.0174,47.2667,0.3275,0.0084,0.0344,0.106,0.2613,-0.0341,0.0068,1.0913,-1.199,-1.042,-1.1214,-1.1991,-1.199,-0.0159,-0.0961,-0.0061,-0.0016,0.0958,0.005,3.0826,17.6158,0.056,0.0062,17.5942,0.1216,0.0014,1,2.36
S1,2,-76.3386,-13.4573,-2.9669,77.5157,18.6256,0.0008,-76.3626,-13.4894,-2.9668,77.5449,18.6553,0.0004,20.1364,3.4946,0.0012,20.4371,0.1132,0.0018,-110.1426,-18.6582,-2.9738,42.2157,18.3985,-0.002,-41.5585,-7.42,-2.9649,111.7116,18.7669,0.0068,68.5841,11.2382,0.0089,69.4959,0.3684,0.0088,0.0108,0.0445,-3.4896,-0.0119,-0.481,1.5831,-1.2197,-1.2644,13.7533,-1.2213,-1.1674,1.9346,-0.2638,-0.2597,-0.0004,0.2637,0.0061,2.1018,26.0398,4.5952,0.0001,26.4421,0.1257,0.001,1,3.73
S10,3,54.7093,-18.1321,-0.3196,57.636,16.294,0.0003,54.8913,-18.1395,-0.3191,57.8109,16.2988,0.0003,9.9657,3.4562,0.0026,10.5469,0.022,0.0007,37.3019,-24.0552,-0.3246,39.2393,16.2298,-0.0016,71.4923,-12.1777,-0.3156,75.4308,16.3216,0.0014,34.1904,11.8774,0.009,36.1914,0.0918,0.003,-0.0431,0.007,-0.3206,-0.0393,-1.2304,-0.8716,-1.2145,-1.2105,-1.0806,-1.2142,0.8185,0.5647,0.1822,-0.1906,-0.0081,0.183,0.0014,2.3932,12.8842,4.4598,0.0031,13.633,0.0145,0.0005,1,2.15
S10,1,152.4293,7.1812,0.0488,152.6043,17.9305,0.0001,152.3317,7.1754,0.0471,152.5006,17.9316,-0.0007,28.8597,0.0635,0.0092,28.8286,0.1562,0.0012,102.7529,7.1048,0.0358,102.9982,17.6562,-0.0025,202.4801,7.2634,0.069,202.6102,18.1829,0.0019,99.7272,0.1586,0.0332,99.612,0.5267,0.0044,0.0079,0.0823,0.4868,0.0085,-0.0378,-0.1493,-1.2,-1.6875,-0.8802,-1.2002,-1.2439,-1.3481,0.1893,0.0088,0.1891,0.1889,0.0087,14.0549,37.0547,0.1,0.0105,37.0175,0.204,0.002,1,4.15
S100,1,111.3561,7.2573,0.0768,111.6291,16.3129,0.0004,111.3299,7.4418,0.0675,111.5844,16.3253,0.0001,43.59,0.4816,0.031,43.4986,0.0343,0.0014,36.2465,5.2589,0.0397,36.626,16.1783,-0.0016,186.7964,7.5371,0.1441,186.9434,16.3535,0.0067,150.55,2.2783,0.1044,150.3174,0.1753,0.0082,0.0026,-2.4105,0.6755,0.0032,-2.4142,2.2383,-1.2022,5.0478,-0.7984,-1.2014,4.9381,6.8645,0.3914,0.0664,0.4041,0.3897,0.0021,3.7833,56.0172,0.0912,0.0312,55.8826,0.0061,0.0007,3,6.73
S100,3,56.5805,-17.1738,-0.2943,59.1296,17.8877,0.0007,56.7152,-17.1931,-0.2943,59.2639,17.907,0.0008,13.0054,4.0561,0.0019,13.6228,0.0353,0.0002,33.9852,-24.0932,-0.2977,35.4665,17.7894,0,78.5291,-10.143,-0.29,82.1419,17.9118,0.001,44.5439,13.9502,0.0077,46.6754,0.1224,0.001,-0.0278,0.0138,0.1985,-0.0266,-1.4154,-1.1998,-1.2163,-1.2065,-0.6908,-1.2154,0.5834,0.5247,0.2299,-0.2362,-0.0065,0.2304,0.002,0.3226,16.8221,5.2226,0.002,17.6138,0.007,0.0001,1,2.53
S100,0,120.3727,7.4018,0.064,120.6091,18.0233,0.0004,120.9964,7.413,0.0612,121.2233,18.0227,0.0004,24.4784,0.0918,0.013,24.4341,0.1612,0.0007,76.8662,7.174,0.0467,77.2003,17.7397,-0.0014,161.4185,7.5478,0.0931,161.5948,18.3031,0.0013,84.5523,0.3738,0.0463,84.3946,0.5634,0.0027,-0.0612,-0.4885,0.5514,-0.0603,0.0089,-0.9875,-1.1971,-0.5123,-0.8459,-1.1973,-1.1989,0.8729,0.2034,0.0124,0.2034,0.2026,0.0089,1.6627,31.3901,0.0964,0.0145,31.3357,0.2069,0.0003,1,4.19
S101,0,105.0823,6.773,0.0756,105.3301,19.2552,0.0014,106.6241,7.0604,0.0661,106.8576,19.2294,0.001,41.0735,0.5712,0.03,41.001,0.0683,0.0024,31.0818,4.7994,0.0419,31.4502,19.1763,-0.0021,172.988,7.2545,0.1532,173.1401,19.3684,0.0086,141.9062,2.4551,0.1113,141.6899,0.1921,0.0107,-0.09,-1.7055,0.8885,-0.0895,0.5331,1.1182,-1.1938,2.021,-0.2783,-1.1935,-1.2696,1.1973,0.3909,0.0843,0.3966,0.3893,0.0035,1.7327,52.601,0.1802,0.0275,52.5037,0.0662,0.0023,3,6.33
S101,2,89.3135,15.0075,0.1664,90.5656,19.8963,-0.0001,89.4058,15.0876,0.1669,90.6699,19.9045,-0.0013,16.7444,2.8218,0.0012,16.9801,0.0358,0.0065,60.286,10.0448,0.1611,61.1171,19.7905,-0.0093,117.2636,19.0509,0.1675,118.801,19.9457,0.0104,56.9776,9.006,0.0064,57.6839,0.1552,0.0197,-0.0229,-0.0934,-1.888,-0.025,-1.1946,0.2471,-1.2234,-1.2732,4.4218,-1.2252,0.7666,-1.2453,0.1875,0.188,0.0072,0.1875,0.0018,-66.0192,21.6963,3.7397,0.0008,22.0161,0.0275,0.0081,1,2.91
