name, hazType,stdXdist,stdSLdist,rangeXdist ,maxSLdist, RT, action
S68,3,0.74,0.7831,2.4172,76.0481,0.16,1
S48,3,2.5253,2.5898,8.5357,109.2141,0.37,1
S30,3,6.0191,6.3083,20.7645,81.8248,1.2,1
S53,3,6.3307,6.6895,21.7921,77.1221,1.36,1
S95,3,6.897,7.5796,23.5872,58.8223,1.96,1
S49,2,6.9512,7.1797,23.9931,78.9814,1.84,1
S18,3,7.1945,7.5832,24.803,77.6805,1.51,1
S70,2,7.492,7.6579,25.8406,94.9378,1.63,1
S57,3,7.7819,8.2396,26.7611,74.6516,1.69,1
S13,3,7.8173,8.1849,26.9357,80.4483,1.57,1
S64,3,8.0259,8.3799,27.5445,85.1336,1.51,1
S6,2,8.0782,8.2664,27.8623,98.5166,1.7,1
S33,2,8.5072,8.6191,29.3204,121.2217,1.43,1
S45,2,8.5093,8.6317,28.8007,112.3663,1.6,1
S75,3,8.7127,9.0937,29.8906,85.743,1.61,1
S50,3,8.8507,9.4305,30.3764,69.8878,2.05,1
S31,2,8.9378,9.0708,30.2432,109.0428,1.72,1
S26,3,8.9935,9.3731,30.9272,86.6307,1.64,1
S15,3,9.0487,9.5402,31.119,78.8357,1.87,1
S3,3,9.2209,9.8104,31.6541,70.8018,2.13,2
S97,3,9.3846,9.9422,32.1382,73.4755,2.05,1
S86,2,9.4043,9.5567,32.4691,108.6366,1.79,1
S85,2,9.4483,9.6503,32.6692,96.7763,2.02,1
S1,3,9.4839,9.8769,32.6185,88.2691,1.71,3
S23,2,9.5618,9.7318,33.0383,105.5754,1.86,1
S64,2,9.6439,9.7971,32.6477,108.2943,1.87,3
S51,3,9.7249,10.2739,33.3858,77.1958,2.07,1
S87,3,9.7593,10.3232,33.417,74.8521,2.12,1
S47,3,9.8343,10.3441,33.7762,77.0851,2.03,1
S10,3,9.9657,10.5469,34.1904,75.4308,2.15,1
S76,3,10.0215,10.4309,34.3164,84.553,1.82,1
S55,3,10.15,10.6428,34.8428,80.6144,2.01,1
S2,2,10.2266,10.4359,35.3617,97.8104,2.18,1
S23,3,10.2376,10.7254,35.1707,83.831,1.99,1
S44,3,10.5027,10.8883,36.139,90.3475,1.85,1
S97,2,10.5307,10.7426,35.6274,95.958,2.3,1
S95,2,10.5688,10.8809,35.6619,79.5545,2.79,1
S65,2,10.5806,10.7562,36.544,106.9987,2.04,1
S99,0,10.7836,10.7692,37.151,170.5031,1.83,1
S5,3,11.0209,11.4029,37.8897,95.4382,1.82,1
S70,3,11.116,11.7399,38.062,76.01,2.36,1
S11,2,11.1281,11.3415,38.5008,100.4623,2.29,1
S52,3,11.463,12.0084,39.335,81.4956,2.27,1
S26,2,11.5798,11.7027,39.2776,122.2916,1.96,1
S39,3,11.6074,12.2327,39.8094,77.3844,2.43,1
S17,3,11.6316,12.0632,39.9853,91.9201,2,1
S89,3,11.6621,12.2709,39.9356,76.1028,2.43,2
S51,2,11.7006,11.9553,40.4065,94.5299,2.56,1
S25,2,11.7212,11.9288,39.6776,103.2308,2.38,1
S72,3,11.7274,12.1493,40.2108,93.5271,1.98,1
S14,2,11.7583,11.9442,40.6315,111.7598,2.17,1
S22,3,11.7945,12.5065,40.4013,72.9818,2.59,1
S39,2,11.9713,12.2024,41.4041,100.3126,2.46,1
S9,3,12.1892,12.5509,41.9003,101.5375,1.88,1
S90,3,12.1995,12.7513,41.8071,83.731,2.33,1
S109,2,12.3463,12.5318,42.6582,117.7446,2.15,1
S32,2,12.4281,12.5681,42.8921,127.2039,1.99,1
S6,3,12.5866,13.2293,43.1641,78.793,2.6,1
S49,3,12.6649,13.694,43.3296,64.3777,3.28,1
S20,3,12.6682,13.3107,43.4944,78.5913,2.6,1
S66,3,12.6813,13.331,43.4506,80.7476,2.52,2
S102,3,12.8238,13.3075,43.9824,89.0659,2.24,1
S89,2,12.86,13.0384,43.6238,115.168,2.31,2
S12,2,12.8822,13.1495,43.5865,93.9406,2.85,1
S110,3,12.9899,13.6038,44.4884,81.6296,2.53,1
S100,3,13.0054,13.6228,44.5439,82.1419,2.53,1
S13,2,13.0682,13.2478,44.3063,110.5774,2.45,1
S83,2,13.3257,13.5689,45.2009,102.5403,2.72,1
S80,3,13.3849,13.8687,45.9098,94.8984,2.26,3
S71,3,13.4663,14.2447,46.1166,75.4641,2.87,1
S22,2,13.4755,13.7442,45.6852,95.981,2.91,1
S84,3,13.4779,14.1158,46.151,81.162,2.61,1
S58,3,13.5014,14.0153,46.3383,90.8143,2.34,1
S27,2,13.5137,13.6774,46.6914,127.0988,2.17,1
S34,3,13.6384,14.2212,46.7831,83.3645,2.57,3
S84,2,13.7175,13.9097,46.5681,110.8835,2.54,1
S1,0,13.722,13.7039,47.3295,166.2302,2.36,1
S50,2,13.7344,13.9312,46.5437,105.4363,2.63,1
