Subject_Num,HazType,Speed,x_dist,y_dist,sl_dist,angle,turn,signal_type,stop,action,RT
S1,2,18.77,-110.14,-18.66,111.71,-170.39,0,0,1,1,3.73
S1,0,18.97,-166.04,-7.88,166.23,-177.28,1,1,1,1,2.36
S1,3,19.66,-85.25,22.9,88.27,164.97,0,0,0,1,1.71
S10,3,16.32,71.49,24.06,75.43,18.6,0,0,0,1,2.15
S100,0,18.3,161.42,7.55,161.59,2.68,1,1,1,1,4.19
S100,3,17.91,78.53,24.09,82.14,17.06,0,0,0,1,2.53
S101,1,19.3,214.67,6.84,214.78,1.82,1,1,0,1,5.6
S101,2,19.88,117.26,19.05,118.8,9.23,0,0,1,1,2.91
S102,2,20.79,-121.84,-18.99,123.31,-171.14,0,0,1,1,5.05
S102,3,19.99,-86.18,22.49,89.07,165.38,0,0,0,1,2.24
S103,1,18.28,207.26,6.94,207.38,1.92,1,1,0,1,6.68
S103,2,18.13,107.23,19.06,108.91,10.08,0,0,1,1,2.81
S104,1,15.46,-184.32,-7.64,184.48,-177.63,1,1,0,1,6.95
S104,3,16.12,-71.24,23.59,75.04,161.68,0,0,0,1,2.97
S105,1,16.34,188.91,7.61,189.07,2.31,1,1,0,1,7.92
S107,1,15.95,187.09,6.85,187.21,2.1,1,1,0,1,6
S107,2,15.85,93.82,19.04,95.73,11.47,0,0,1,1,2.99
S108,0,19.3,-168.59,-7.45,168.76,-177.47,1,1,1,1,6.88
S108,2,19.64,-115.01,-19.29,116.62,-170.48,0,0,1,1,3.09
S109,1,18.36,-211.54,-7.61,211.68,-177.94,1,1,0,1,6.98
S109,2,19.88,-116.19,-19.07,117.74,-170.68,0,0,1,1,2.15
S11,2,16.86,-98.73,-18.59,100.46,-169.33,0,0,1,1,2.29
S110,1,16.99,194.27,7.06,194.39,2.08,1,1,0,1,5.42
S110,3,17.91,77.9,24.41,81.63,17.4,0,0,0,1,2.53
S111,2,17.19,101.49,19.39,103.32,10.82,0,0,1,1,3.58
S12,0,17.15,157.04,7.3,157.21,2.66,1,1,1,1,6.24
S12,1,17.25,197.71,6.92,197.83,2,1,1,0,1,5.75
S12,2,15.53,92.02,18.91,93.94,11.61,0,0,1,1,2.85
S13,0,17.86,-158.32,-7.14,158.48,-177.42,1,1,1,1,5.75
S13,2,18.51,-108.97,-18.77,110.58,-170.23,0,0,1,1,2.45
S13,3,17.85,-77.07,23.07,80.45,163.33,0,0,0,1,1.57
S14,1,19.26,-218.87,-7.44,218.99,-178.05,1,1,0,1,4.89
S14,2,18.74,-110.24,-18.4,111.76,-170.53,0,0,1,1,2.17
S15,1,16.27,190.65,6.74,190.77,2.02,1,1,0,1,8.45
S15,0,18.17,160.9,6.68,161.04,2.38,1,1,1,1,7.05
S15,3,17.18,74.99,24.32,78.84,17.97,0,0,0,1,1.87
S17,0,19.58,-170.21,-7.47,170.38,-177.49,1,1,1,1,6.45
S17,2,20.64,-121.05,-18.73,122.49,-171.2,0,0,1,1,2.42
S17,3,20.5,-88.95,23.19,91.92,165.38,0,0,0,1,2
S18,0,17.5,-155.71,-7.87,155.91,-177.11,1,1,1,1,6.63
S18,2,17.81,-104.27,-19.23,106.02,-169.55,0,0,1,1,3.23
S18,3,17.1,-74.31,22.63,77.68,163.06,0,0,0,1,1.51
S19,1,18.66,-215.3,-7.44,215.42,-178.02,1,1,0,1,7.14
S19,2,18.77,-109.8,-18.74,111.39,-170.32,0,0,1,1,2.83
